iter	RMSE
0	0.4636900099
1	0.4527954501
2	0.445949726
3	0.4349240107
4	0.4253655579
5	0.4096501924
6	0.4003110742
7	0.3897828629
8	0.375667918
9	0.370491967
10	0.3670908574
11	0.3538996198
12	0.3472023894
13	0.3383573107
14	0.3279255183
15	0.3204442933
16	0.3138659657
17	0.304884137
18	0.301235546
19	0.2944045022
20	0.291997623
21	0.283834335
22	0.2783635444
23	0.2744735792
24	0.2664176864
25	0.2619258978
26	0.2577193806
27	0.2535698133
28	0.2493922731
29	0.2438951692
30	0.2396622879
31	0.2334795547
32	0.2302785759
33	0.2268433586
34	0.2236626631
35	0.2217131569
36	0.21687937
37	0.2137045957
38	0.2111196705
39	0.2074797473
40	0.2059596543
41	0.203221484
42	0.2004657367
43	0.198021247
44	0.1949472204
45	0.1922735492
46	0.1908435505
47	0.1881810099
48	0.1842848935
49	0.1821305222
50	0.1810775344
51	0.1790331888
52	0.1780531487
53	0.1746496113
54	0.1706079817
55	0.1676623222
56	0.1646999072
57	0.1625576354
58	0.1606846317
59	0.1596286223
60	0.1572423995
61	0.1547956763
62	0.1540248847
63	0.1519170164
64	0.150666151
65	0.1483277095
66	0.1448690086
67	0.1428276167
68	0.1409489356
69	0.1399599261
70	0.1383232189
71	0.1358800572
72	0.1336116984
73	0.1328104059
74	0.132097724
75	0.1304643483
76	0.1288741738
77	0.1280346411
78	0.1261151763
79	0.1244702666
80	0.1231880163
81	0.121692073
82	0.1211054861
83	0.1205562155
84	0.1189996017
85	0.1184835865
86	0.11811463
87	0.1168640145
88	0.1153797499
89	0.1149278623
90	0.1138521543
91	0.1126746307
92	0.1121659863
93	0.1112514401
94	0.1101689464
95	0.1091560711
96	0.1084182162
97	0.1077426836
98	0.1071242675
99	0.1058652163
